name,address,province,city,area,telephone,"lat,lng",tag
聚香园,埔田镇庵后村万竹园附近竹笋市场内,广东省,揭阳市,揭东区,15975108870,"[23.613797, 116.418582]",美食;中餐厅
芦园渔港,神泉芦园村南海渔村对面,广东省,揭阳市,惠来县,,"[22.942753, 116.362929]",美食;中餐厅
点点私厨,广东省揭阳市榕城区北环城路中山办事处隔壁(即计划生育服务站榕城中山所隔壁),广东省,揭阳市,榕城区,"1,772,826,255,718,310,000,000","[23.543268, 116.36394]",美食;中餐厅
北国饭店(榕景园店),榕城区榕景园北门(近建阳路),广东省,揭阳市,榕城区,(0663)8271666,"[23.568921, 116.374263]",美食;中餐厅
Annie和她的小伙伴(餐吧),广东省揭阳市榕城区东升街道晓翠路揭阳工会大厦东南50米,广东省,揭阳市,榕城区,"1,980,663,777,818,800,000,000","[23.565319, 116.377912]",美食;蛋糕甜品店
南兴食城,揭阳市普宁市环城南路1号,广东省,揭阳市,普宁市,(0663)2166155,"[23.294202, 116.180326]",美食;中餐厅
明思味餐厅(东山店),榕城区义河村义兴楼16-18号,广东省,揭阳市,榕城区,(0663)8292822,"[23.558186, 116.368538]",美食;中餐厅
北国饭店(榕城店),广东省揭阳市榕城区新兴东郊村泗水围85号,广东省,揭阳市,榕城区,"(0663)8507111,(0663)8507222","[23.533492, 116.371421]",美食;中餐厅
隆江猪脚兴饭店,广东省揭阳市惠来县隆江镇猪脚兴饭店,广东省,揭阳市,惠来县,,"[22.988581, 116.186792]",美食;中餐厅
香满楼,揭阳市榕城区埔上村后座,广东省,揭阳市,榕城区,18666320128,"[23.56303, 116.375213]",美食;中餐厅
榕江美食府,揭阳市榕城区金碧尚都15号铺,广东省,揭阳市,榕城区,(0663)8213698,"[23.562137, 116.37614]",美食;中餐厅
真功夫(普宁广达店),广达北路美佳乐广场一楼商铺,广东省,揭阳市,普宁市,(0663)2288021,"[23.306367, 116.153874]",美食;小吃快餐店
潮状元美食城,广东省揭阳市揭东区S236(环市北路),广东省,揭阳市,揭东区,4001849888,"[23.564173, 116.3268]",美食;中餐厅
肯德基(易初莲花店),黄岐山大道易初莲花购物中心1-2层,广东省,揭阳市,榕城区,(0663)8227870,"[23.569497, 116.37678]",美食;小吃快餐店
探鱼(揭阳金城店),建阳路宝乐迪KTV一层,广东省,揭阳市,榕城区,(0663)8265668,"[23.568179, 116.378216]",美食;中餐厅
烤鱼先生碳烤鱼,广东省揭阳市榕城区卢前C一幢17号附近,广东省,揭阳市,榕城区,13534508755,"[23.566043, 116.370099]",美食;中餐厅
阿牛美食府,广东省揭阳市榕城区新阳东路北侧原新河村沟处商务楼D幢3层,广东省,揭阳市,榕城区,(0663)8226655,"[23.562658, 116.384677]",美食;中餐厅
顺记牛肉,广东省揭阳市榕城区建阳路与仁义路交界处,广东省,揭阳市,榕城区,(0663)8858758,"[23.567668, 116.369999]",美食;小吃快餐店
仁和四季(椰子鸡音乐主题餐厅),黄岐山大道大海通唱正对面(原大海园林),广东省,揭阳市,榕城区,(0663)8699383,"[23.561837, 116.378291]",美食;中餐厅
玉山餐厅,广东省揭阳市普宁市X107路东,广东省,揭阳市,普宁市,(0663)2524157,"[23.526514, 116.22106]",美食;中餐厅
鲁智笙(揭阳店),建阳路金城步行街5号,广东省,揭阳市,榕城区,(0663)8781789,"[23.568211, 116.377922]",美食;中餐厅
肯德基(揭阳临江北餐厅),临江北路49号,广东省,揭阳市,榕城区,,"[23.556169, 116.372862]",美食;小吃快餐店
法兰度航空主题餐厅(万泰汇店),广达北路万泰汇购物中心四楼D019-D022号,广东省,揭阳市,普宁市,(0663)2882868,"[23.319567, 116.168158]",美食;中餐厅
天安饭店,普宁市广达北路与长春路交叉处,广东省,揭阳市,普宁市,(0663)2247389,"[23.308771, 116.154737]",美食;中餐厅
阪尚皇自助餐厅(揭阳店),广东省揭阳市榕城区建阳路金城步行街体育乐园3-5号,广东省,揭阳市,榕城区,(0663)8494968,"[23.569136, 116.378179]",美食;中餐厅
新坛海鲜肠粉,广东省揭阳市普宁市长青路新坛村新祠堂56幢3号,广东省,揭阳市,普宁市,15889111599,"[23.297522, 116.196058]",美食;小吃快餐店
肯德基(葵和大道餐厅),广东省揭阳市惠来县南门东路1号,广东省,揭阳市,惠来县,,"[23.034773, 116.302191]",美食;小吃快餐店
潮膳砂锅粥,广东省揭阳市榕城区沿江路奥马眼镜路口处直入50米,广东省,揭阳市,榕城区,13925666755,"[23.556528, 116.374574]",美食;中餐厅
曲毛正宗澄海鹅肉饭(兰花分店),广东省揭阳市普宁市池尾街道体育西路桂荣茗园东,广东省,揭阳市,普宁市,(0663)2930876,"[23.309632, 116.162965]",美食;小吃快餐店
不老基(天福东路店),天福东路雅逸花园6-7号(女人街旁),广东省,揭阳市,榕城区,(0663)8653918,"[23.545883, 116.371058]",美食;小吃快餐店
新阳东大酒楼,揭阳市普宁市文竹南路8号,广东省,揭阳市,普宁市,(0663)2820222,"[23.293267, 116.187063]",美食;中餐厅
捌方Eight Party,广东省揭阳市榕城区新河工业区第五座,广东省,揭阳市,榕城区,13729327631,"[23.565761, 116.378193]",美食;外国餐厅
冰弟酸菜生鱼,东湖公园门口往渔湖30米临江雅苑对面,广东省,揭阳市,榕城区,13922678346,"[23.533754, 116.386585]",美食;中餐厅
老地方鲜鱼馆(揭东店),揭东区步行街84-88号(206国道旁金叶酒店对面),广东省,揭阳市,揭东区,15917986648,"[23.576084, 116.40851]",美食;中餐厅
聚兴海鲜城,莲花大道与环市北路交叉口,广东省,揭阳市,榕城区,(0663)8535888,"[23.573623, 116.390904]",美食;中餐厅
麦当劳(进贤门分店),榕城区进贤商业步行街1栋1-2楼(近孔庙),广东省,揭阳市,榕城区,(0663)8625011,"[23.541189, 116.362706]",美食;小吃快餐店
福合埕牛肉丸(流沙总店),文竹北路仁志昌宾馆楼下(第一实验小学斜对面),广东省,揭阳市,普宁市,"(0663)2371688,13682832161","[23.309217, 116.188788]",美食;中餐厅
黄家铺牛肉火锅店(流沙店),普宁玉华南路与普宁大道交界处东北角,广东省,揭阳市,普宁市,(0663)2291998,"[23.286174, 116.170308]",美食;中餐厅
霖磐牛肉店,广东省揭阳市东山金润帝豪菀对面义河新村路口往马牙市场方向15米,广东省,揭阳市,榕城区,15521956617,"[23.555217, 116.369801]",美食;中餐厅
鸿兴美食(临江北路店),广东省揭阳市榕城区临江北路南东意园L区二幢17,广东省,揭阳市,榕城区,(0663)8382599,"[23.555362, 116.389573]",美食;中餐厅
聚味乳鸽宴(东山店),广东省揭阳市榕城区三号路与站前路交界处(假日商务酒店楼下),广东省,揭阳市,榕城区,(0663)7662345,"[23.564377, 116.377465]",美食;中餐厅
肯德基(步行街店),进贤商业步行街e栋1层,广东省,揭阳市,榕城区,(0663)8665770,"[23.541129, 116.363972]",美食;小吃快餐店
味源桑拿鸡(东山店),广东省揭阳市榕城区建阳路华美商业广场A幢11号铺,广东省,揭阳市,榕城区,"1,343,007,145,513,530,000,000","[23.567378, 116.373037]",美食;中餐厅
一季鲜萃奶茶,广东省揭阳市榕城区临江北路以南仁义路以东金港庄104号分享餐吧隔壁,广东省,揭阳市,榕城区,18666300285,"[23.554774, 116.373413]",美食;蛋糕甜品店
麻辣英雄重庆老火锅(揭阳店),榕城区建阳路中阳大厦裙楼15-16号,广东省,揭阳市,榕城区,(0663)8591222,"[23.567992, 116.375654]",美食;中餐厅
菜菜韩式自助餐厅(万泰汇购物中心店),揭阳市普宁市赤华北路与环城北路交口万泰汇购物中心F4,广东省,揭阳市,普宁市,(0663)2214278,"[23.318601, 116.169352]",美食;外国餐厅
胡桃里音乐酒馆(揭阳店),仁义路与环市北路交叉口西南50米,广东省,揭阳市,榕城区,(0663)8309999,"[23.571439, 116.369877]",美食;其他
舞茶道(临江北路店),义和北路一巷9黄岐山大道,广东省,揭阳市,榕城区,(0663)8224900,"[23.556342, 116.372617]",美食;蛋糕甜品店
千锅涮(江南新城店),揭阳市榕城区江南新城2期14-17号,广东省,揭阳市,榕城区,(0663)8075388,"[23.551661, 116.376375]",美食;中餐厅
千锅涮(金城店),二号路顶金城步行街体育乐园6号、7号和7-1号商铺,广东省,揭阳市,榕城区,(0663)8077388,"[23.569096, 116.378328]",美食;中餐厅
严厨老坛酸菜鱼(cococity店),广达北路时代中心星河COCOCITY四楼,广东省,揭阳市,普宁市,15217290198,"[23.322001, 116.168139]",美食;中餐厅
茶鲜堂(兰花店),赤华北路8号兰花广场(婚纱摄影和罗玛莉蛋糕中间),广东省,揭阳市,普宁市,(0663)2278179,"[23.305417, 116.165662]",美食;蛋糕甜品店
汉遂牛肉店(玉华店),平湖村西湖庄34栋(河滨南路与玉华南路交口),广东省,揭阳市,普宁市,(0663)2234768,"[23.299376, 116.169956]",美食;中餐厅
厨神名点(普宁尚东店),广东省揭阳市普宁市国际商品城尚东步行街1栋3楼,广东省,揭阳市,普宁市,(0663)2300688,"[23.300294, 116.200463]",美食;中餐厅
养正食苑(东山店),揭阳市榕城区11号街206号,广东省,揭阳市,榕城区,(0663)8895678,"[23.57228, 116.387992]",美食;外国餐厅
台湾冰匠(金凤路店),金凤路54号(近政府),广东省,揭阳市,揭东区,13592901480,"[23.573731, 116.419928]",美食;蛋糕甜品店
鱼坊(万泰汇店),万泰汇购物中心四楼d009,广东省,揭阳市,普宁市,"(0663)2216266,13076531839","[23.318759, 116.168777]",美食;中餐厅
华莱士汉堡店(进贤门店),广东省揭阳市榕城区进贤门大道47-49号,广东省,揭阳市,榕城区,(0663)8620433,"[23.540988, 116.370981]",美食;小吃快餐店
万岁寿司(揭阳广百店),榕城区黄岐山大道以西建阳路以南金城广场2楼(广百百货),广东省,揭阳市,榕城区,(0663)8721218,"[23.567464, 116.374974]",美食;外国餐厅
鹿红君麻辣烫(揭东广场店),揭阳市揭东区御江南19号,广东省,揭阳市,揭东区,18666306496,"[23.582523, 116.435072]",美食;小吃快餐店
新康保休闲餐厅(金城店),黄歧山大道广信大厦2楼广百百货对面,广东省,揭阳市,榕城区,(0663)8216018,"[23.567098, 116.376756]",美食;小吃快餐店
意寿司(东山店),广东省揭阳市榕城区龙光花园2楼,广东省,揭阳市,榕城区,(0663)8079880,"[23.567206, 116.370708]",美食;外国餐厅
豪享来(榕城店),广东省揭阳市榕城区进贤商业步行街二楼,广东省,揭阳市,榕城区,(0663)8661002,"[23.541155, 116.363982]",美食;外国餐厅
彬弟酸菜鱼,黄岐山大道12号,广东省,揭阳市,榕城区,15915662366,"[23.566542, 116.375281]",美食;中餐厅
烤肉食堂,揭阳市榕城区黄岐山大道78附近,广东省,揭阳市,榕城区,,"[23.566922, 116.377999]",美食;其他
不老基(东山店),榕城区仁义路东区三路26-27号,广东省,揭阳市,榕城区,(0663)8800158,"[23.564147, 116.370651]",美食;小吃快餐店
忠诚饼包屋(沟口店),东山工商局楼下10号铺,广东省,揭阳市,榕城区,(0663)8531808,"[23.556861, 116.386438]",美食;蛋糕甜品店
米果三十,广东省揭阳市榕城区建阳路6-7号,广东省,揭阳市,榕城区,13822970088,"[23.568426, 116.375066]",美食;小吃快餐店
樱花雨(东山店),东升汇景蓝湾二期11-1号商铺,广东省,揭阳市,榕城区,(0663)8535200,"[23.557617, 116.396941]",美食;外国餐厅
乐客小站(流沙店),流沙大南山路12号人民公园后门侧面,广东省,揭阳市,普宁市,(0663)2250681,"[23.301227, 116.178077]",美食;小吃快餐店
糖豆,榕城区美阳路虾塘码头斜对面,广东省,揭阳市,榕城区,13542241010,"[23.564198, 116.368163]",美食;其他
忠诚饼包屋(榕湖店),榕城区榕湖路25号,广东省,揭阳市,榕城区,(0663)8651389,"[23.534354, 116.374249]",美食;蛋糕甜品店
一闻香・迷宗蟹,黄岐山大道金城步行街17号卜蜂莲花附近,广东省,揭阳市,榕城区,(0663)8534566,"[23.57028, 116.376779]",美食;中餐厅
深野鹧鸪饭(揭阳榕景园店),榕城区二号路内侧榕景园北面12-19号铺(北国饭店左侧),广东省,揭阳市,榕城区,(0663)8277389,"[23.568869, 116.373754]",美食;中餐厅
捷源饼家(埔田店),揭阳市揭东区114县道埔田中学斜对面,广东省,揭阳市,揭东区,"(0663)3230678,18718607412","[23.62612, 116.395999]",美食;蛋糕甜品店
忠诚饼包屋(建阳店),建阳路五福园一期B栋16号一楼,广东省,揭阳市,榕城区,(0663)8270208,"[23.567431, 116.373881]",美食;蛋糕甜品店
鲜果一族,广东省揭阳市榕城区思贤路112号,广东省,揭阳市,榕城区,15521950837,"[23.540787, 116.362833]",美食;蛋糕甜品店
罗玛莉蛋糕(占陇店),美佳乐购物广场西100米,广东省,揭阳市,普宁市,(0663)2329138,"[23.29254, 116.266678]",美食;蛋糕甜品店
财兴牛肉专门店(文竹南路店),广东省揭阳市普宁市文德南路童瑶幼儿园附近,广东省,揭阳市,普宁市,"13600118373,(0663)2292822","[23.28742, 116.185483]",美食;中餐厅
樱花雨日本料理寿司(江南新城店),临江南路江南新城2期22号商铺(卜蜂莲花地下停车场出口侧),广东省,揭阳市,榕城区,(0663)8635200,"[23.551215, 116.376179]",美食;外国餐厅
忠诚饼包屋(揭东金溪店),广东省揭阳市揭东区金溪北路西132号,广东省,揭阳市,揭东区,(0663)3277633,"[23.572852, 116.428982]",美食;蛋糕甜品店
金象蛋糕(东市店),新光路北47幢华侨建筑公司楼下,广东省,揭阳市,普宁市,(0663)2710222,"[23.2985, 116.181439]",美食;蛋糕甜品店
相约寿司,人家头村美阳路南区6幢23室,广东省,揭阳市,榕城区,(0663)8885877,"[23.564388, 116.370897]",美食;外国餐厅
尚锅分享餐吧(建阳路店),广东省揭阳市榕城区东山建阳路万家浴足大门进入二楼,广东省,揭阳市,榕城区,,"[23.567419, 116.364756]",美食;中餐厅
茶元气(榕城店),天福东路金凤雅逸花园8-9号,广东省,揭阳市,榕城区,(0663)8482908,"[23.545935, 116.370979]",美食;蛋糕甜品店
快乐基,云路镇北洋村福洋大道340号,广东省,揭阳市,揭东区,(0663)3180238,"[23.590616, 116.47895]",美食;小吃快餐店
中冠伊贝紫(霖桂大道店),广东省揭阳市揭东区霖磐镇霖桂大道19号,广东省,揭阳市,揭东区,(0663)3138199,"[23.557815, 116.248698]",美食;蛋糕甜品店
心悦蛋糕坊,新兴南路中国银行路口直入至路尾(阿霖自选向南200米),广东省,揭阳市,榕城区,18666343858,"[23.536447, 116.366495]",美食;蛋糕甜品店
佰分休闲奶啡(云路店),广东省揭阳市揭东区云路镇云兴路美音技校西南100米,广东省,揭阳市,揭东区,(0663)3192555,"[23.590976, 116.477185]",美食;其他
莱德堡(新阳路店),东兴街埔上社区新阳路南二巷38号,广东省,揭阳市,榕城区,(0663)8624522,"[23.557606, 116.375209]",美食;小吃快餐店
大自然创意蛋糕屋(东山店),广东省揭阳市榕城区东兴街道建阳路豪峰商务宾馆,广东省,揭阳市,榕城区,15915614955,"[23.566682, 116.367647]",美食;蛋糕甜品店
胜司(云路店),云路镇北洋信用社旁,广东省,揭阳市,揭东区,15915672799,"[23.590696, 116.477236]",美食;蛋糕甜品店
KaKA8烘培屋,渔湖镇厚和郭村嘉盛华府2号铺面(既码头仔ktv沿望江北路往炮台方向前行100米),广东省,揭阳市,榕城区,15018220083,"[23.524687, 116.417557]",美食;蛋糕甜品店
纯香茶屋(进贤门大道),邱金元中学飞燕四巷一栋89号铺(邱金元中学对面),广东省,揭阳市,榕城区,13417668769,"[23.540366, 116.381087]",美食;蛋糕甜品店
捷源饼家(玉窖店),揭东区玉窖镇官硕寨内市场对面(新阳路),广东省,揭阳市,揭东区,18026075617,"[23.603855, 116.524174]",美食;蛋糕甜品店
金象蛋糕(总店),广东省揭阳市普宁市新晖园南(普宁市人民医院北),广东省,揭阳市,普宁市,(0663)2226716,"[23.304454, 116.182491]",美食;蛋糕甜品店
捷源饼家(揭东小学店),西一街揭东第一小学对面(瑞晖园C幢东北),广东省,揭阳市,揭东区,(0663)3276017,"[23.575775, 116.416563]",美食;蛋糕甜品店
茶理一世(榕城旗舰店),望江北路十字路口区政府背后(摩托街入口),广东省,揭阳市,榕城区,15917983102,"[23.533201, 116.375919]",美食;茶座
尚派酒吧,揭阳市榕城区新河寨前新区19幢,广东省,揭阳市,榕城区,,"[23.5617, 116.382649]",美食;酒吧
转角coffee(金凤路店),沿江路御龙湾18号铺(农业银行转角处),广东省,揭阳市,揭东区,13925639525,"[23.572325, 116.420109]",美食;咖啡厅
搜夜Club,广东省揭阳市榕城区黄岐山大道与新阳路交界处,广东省,揭阳市,榕城区,(0663)8535567,"[23.558418, 116.376099]",美食;酒吧
